run_id,model,window_size_frames,representation,fold,seed,config_path,expected_log_path,expected_checkpoint_path,execution,fingerprint
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,lstm,60,R0,1,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,lstm,60,R1,1,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,lstm,60,R2,1,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,lstm,60,R0,2,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,lstm,60,R1,2,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42,lstm,60,R2,2,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,lstm,60,R0,3,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,lstm,60,R1,3,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42,lstm,60,R2,3,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42,lstm,60,R0,4,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_4__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42,lstm,60,R1,4,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,lstm,60,R2,4,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,tcn,60,R0,1,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,tcn,60,R1,1,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,tcn,60,R2,1,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,tcn,60,R0,2,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,tcn,60,R1,2,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_2__seed_42,tcn,60,R2,2,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_2__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_2__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42,tcn,60,R0,3,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_3__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42,tcn,60,R1,3,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42,tcn,60,R2,3,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42,tcn,60,R0,4,42,fase_2/configs/experiment/g2_temporal_r0_w60.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_4__seed_42/best_macro_f1.pt,reused_g2,74cecc10fc2d79d3ede33e1882ddd4b2d98de18fc26cb71524298df3714ea4e4
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42,tcn,60,R1,4,42,fase_2/configs/experiment/g3_r1_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42/best_macro_f1.pt,new,c72b34c1701ca8ede684faa439a58edc22c6e24c8b69feabb14bb1d6e7909f54
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,tcn,60,R2,4,42,fase_2/configs/experiment/g3_r2_w60.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42/best_macro_f1.pt,new,71321dc2402fbd9e8a5669526d59d19ba8a6f7e711f39bb6b7dd9dccc17e52ac
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42,transformer,150,R0,1,42,fase_2/configs/experiment/g2_temporal_r0_w150.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_1__seed_42/best_macro_f1.pt,reused_g2,9a46aece367c9312b62de20d89107b11dce5679b1115e643e6a64ad9ac889eb9
G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42,transformer,150,R1,1,42,fase_2/configs/experiment/g3_r1_w150.yaml,fase_2/outputs/logs/G3/G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r1_w150_b1024__transformer__r1__w150__fold_1__seed_42/best_macro_f1.pt,new,e3048acc8368db0920d87d4a36c655dfc5906ba0c37c89a4bbb7a26f8e11861f
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,transformer,150,R2,1,42,fase_2/configs/experiment/g3_r2_w150.yaml,fase_2/outputs/logs/G3/G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42.json,fase_2/outputs/models/G3/G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42/best_macro_f1.pt,new,689fe0faaa5e9214f0cdbc61a954952bdbba639eafeb3ca05d2772335b1e3e60
G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42,transformer,150,R0,2,42,fase_2/configs/experiment/g2_temporal_r0_w150.yaml,fase_2/outputs/logs/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42.json,fase_2/outputs/models/G2/G2__qualification_r0_w150_b1024__transformer__r0__w150__fold_2__seed_42/best_macro_f1.pt,reused_g2,9a46aece367c9312b62de20d89107b11dce5679b1115e643e6a64ad9ac889eb9
