model,ablation,fold,subset,actual,predicted,count,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,configuration_id
svm,r0_flat,1,validation,alert,alert,916,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,alert,fatigue,9,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,alert,distraction,89,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,fatigue,alert,2,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,fatigue,fatigue,2,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,distraction,alert,108,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,distraction,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,validation,distraction,distraction,54,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,alert,alert,955,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,alert,fatigue,6,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,alert,distraction,127,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,fatigue,alert,29,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,fatigue,distraction,38,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,distraction,alert,118,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,distraction,fatigue,2,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,1,test,distraction,distraction,259,G1__qualification_r0_flat__svm__r0_flat__w60__fold_1__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,alert,alert,914,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,alert,fatigue,35,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,alert,distraction,131,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,fatigue,alert,13,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,fatigue,fatigue,1,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,fatigue,distraction,3,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,distraction,alert,50,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,distraction,fatigue,1,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,validation,distraction,distraction,25,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,alert,alert,1427,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,alert,fatigue,35,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,alert,distraction,109,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,fatigue,alert,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,distraction,alert,117,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,distraction,fatigue,5,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,2,test,distraction,distraction,171,G1__qualification_r0_flat__svm__r0_flat__w60__fold_2__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,alert,alert,818,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,alert,fatigue,18,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,alert,distraction,150,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,fatigue,alert,13,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,distraction,alert,97,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,distraction,fatigue,2,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,validation,distraction,distraction,53,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,test,alert,alert,1207,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
